       latitude      longitude observation     resiual  prediction  correction
       34.29293      136.00264     0.03540    -0.03245     0.06785     0.00000
       35.08572      136.04120     0.05440    -0.04184     0.09624     0.00000
       34.71065      136.04189     0.03590    -0.04601     0.08191     0.00000
       36.10973      136.04895     0.10030    -0.04282     0.14312     0.00000
       34.56703      136.05039     0.03800    -0.03894     0.07694     0.00000
       35.46629      136.05367     0.06040    -0.05229     0.11269     0.00000
       34.86933      136.05483     0.03740    -0.05049     0.08789     0.00000
       35.83684      136.05598     0.07780    -0.05220     0.13000     0.00000
       35.31897      136.06283     0.06710    -0.03923     0.10633     0.00000
       35.60256      136.10581     0.06500    -0.05496     0.11996     0.00000
       34.98638      136.14504     0.04870    -0.04470     0.09340     0.00000
       35.09473      136.15823     0.06010    -0.03794     0.09804     0.00000
       36.23117      136.17297     0.10410    -0.04919     0.15329     0.00000
       34.49387      136.17315     0.02480    -0.05034     0.07514     0.00000
       34.74287      136.18345     0.03140    -0.05280     0.08420     0.00000
       35.96889      136.18499     0.08300    -0.05701     0.14001     0.00000
       35.79278      136.19739     0.07440    -0.05693     0.13133     0.00000
       35.55733      136.19795     0.06820    -0.05147     0.11967     0.00000
       34.06066      136.19836     0.04310    -0.01843     0.06153     0.00000
       35.26944      136.23561     0.06510    -0.04168     0.10678     0.00000
       35.42036      136.26475     0.07990    -0.03442     0.11432     0.00000
       36.14562      136.27894     0.11710    -0.03519     0.15229     0.00000
       34.93073      136.29557     0.05540    -0.03728     0.09268     0.00000
       34.64875      136.32976     0.03880    -0.04288     0.08168     0.00000
       34.43314      136.33426     0.03370    -0.04012     0.07382     0.00000
       35.88822      136.33958     0.08070    -0.05936     0.14006     0.00000
       34.20816      136.34293     0.04260    -0.02373     0.06633     0.00000
       36.22956      136.36165     0.10800    -0.05185     0.15985     0.00000
       34.29793      136.38849     0.02940    -0.03999     0.06939     0.00000
       36.39446      136.38894     0.11250    -0.05789     0.17039     0.00000
       34.85490      136.39326     0.06300    -0.02742     0.09042     0.00000
       34.60333      136.43194     0.04650    -0.03407     0.08057     0.00000
       35.35973      136.47031     0.09070    -0.02418     0.11488     0.00000
       34.42033      136.47446     0.03700    -0.03695     0.07395     0.00000
       35.63615      136.48877     0.07380    -0.05615     0.12995     0.00000
       34.75900      136.50229     0.06450    -0.02279     0.08729     0.00000
       35.10476      136.50376     0.05680    -0.04598     0.10278     0.00000
       35.98491      136.50492     0.09550    -0.05492     0.15042     0.00000
       34.28507      136.54048     0.03600    -0.03338     0.06938     0.00000
       36.53727      136.54067     0.11190    -0.07376     0.18566     0.00000
       35.48006      136.54529     0.08300    -0.03957     0.12257     0.00000
       35.37171      136.54974     0.07230    -0.04455     0.11685     0.00000
       34.54705      136.55066     0.04850    -0.03053     0.07903     0.00000
       35.22791      136.59344     0.06220    -0.04786     0.11006     0.00000
       36.37007      136.60533     0.12770    -0.05033     0.17803     0.00000
       35.63290      136.61139     0.08290    -0.04966     0.13256     0.00000
       34.43144      136.62840     0.04380    -0.03113     0.07493     0.00000
       36.16529      136.63395     0.11960    -0.04641     0.16601     0.00000
       34.91380      136.63650     0.04590    -0.04933     0.09523     0.00000
       36.66341      136.64994     0.14190    -0.05729     0.19919     0.00000
       35.90141      136.65774     0.08770    -0.06232     0.15002     0.00000
       35.48832      136.68728     0.08500    -0.04083     0.12583     0.00000
       34.29661      136.69319     0.02880    -0.04134     0.07014     0.00000
       35.05091      136.69425     0.04690    -0.05551     0.10241     0.00000
       37.15674      136.71876     0.16770    -0.06697     0.23467     0.00000
       34.49000      136.72823     0.04440    -0.03316     0.07756     0.00000
       35.40513      136.72875     0.08250    -0.03935     0.12185     0.00000
       36.81748      136.75565     0.15610    -0.05934     0.21544     0.00000
       37.00072      136.77271     0.15780    -0.07087     0.22867     0.00000
       35.72349      136.78462     0.09600    -0.04632     0.14232     0.00000
       35.30084      136.78882     0.07610    -0.04085     0.11695     0.00000
       34.37358      136.80200     0.04040    -0.03284     0.07324     0.00000
       36.59209      136.80640     0.14770    -0.05512     0.20282     0.00000
       34.25344      136.82061     0.03320    -0.03560     0.06880     0.00000
       35.19011      136.82883     0.06730    -0.04407     0.11137     0.00000
       34.90438      136.83188     0.04660    -0.04993     0.09653     0.00000
       34.46539      136.85113     0.02740    -0.04959     0.07699     0.00000
