       latitude      longitude observation     resiual  prediction  correction
       34.29293      136.00264     0.00460    -0.00908     0.01368     0.00000
       35.08572      136.04120     0.01580    -0.00080     0.01660     0.00000
       34.71065      136.04189     0.01950     0.00402     0.01548     0.00000
       36.10973      136.04895     0.02040     0.00522     0.01518     0.00000
       34.56703      136.05039     0.01800     0.00305     0.01495     0.00000
       35.46629      136.05367     0.03150     0.01443     0.01707     0.00000
       34.86933      136.05483     0.01730     0.00124     0.01606     0.00000
       35.83684      136.05598     0.00320    -0.01329     0.01649     0.00000
       35.31897      136.06283     0.00070    -0.01636     0.01706     0.00000
       35.60256      136.10581     0.02140     0.00414     0.01726     0.00000
       34.98638      136.14504     0.02900     0.01227     0.01673     0.00000
       35.09473      136.15823     0.01630    -0.00078     0.01708     0.00000
       36.23117      136.17297     0.01970     0.00464     0.01506     0.00000
       34.49387      136.17315     0.01320    -0.00170     0.01490     0.00000
       34.74287      136.18345     0.02880     0.01280     0.01600     0.00000
       35.96889      136.18499     0.01350    -0.00321     0.01671     0.00000
       35.79278      136.19739     0.02240     0.00499     0.01741     0.00000
       35.55733      136.19795     0.02920     0.01142     0.01778     0.00000
       34.06066      136.19836     0.02990     0.01709     0.01281     0.00000
       35.26944      136.23561     0.01750    -0.00028     0.01778     0.00000
       35.42036      136.26475     0.01060    -0.00750     0.01810     0.00000
       36.14562      136.27894     0.02400     0.00770     0.01630     0.00000
       34.93073      136.29557     0.01100    -0.00608     0.01708     0.00000
       34.64875      136.32976     0.02000     0.00402     0.01598     0.00000
       34.43314      136.33426     0.02410     0.00918     0.01492     0.00000
       35.88822      136.33958     0.02730     0.00933     0.01797     0.00000
       34.20816      136.34293    -0.00870    -0.02243     0.01373     0.00000
       36.22956      136.36165     0.02780     0.01158     0.01622     0.00000
       34.29793      136.38849    -0.00090    -0.01518     0.01428     0.00000
       36.39446      136.38894     0.00530    -0.00963     0.01493     0.00000
       34.85490      136.39326     0.01210    -0.00501     0.01711     0.00000
       34.60333      136.43194     0.00500    -0.01101     0.01601     0.00000
       35.35973      136.47031     0.01950     0.00042     0.01908     0.00000
       34.42033      136.47446     0.02070     0.00561     0.01509     0.00000
       35.63615      136.48877     0.04270     0.02331     0.01939     0.00000
       34.75900      136.50229     0.00640    -0.01059     0.01699     0.00000
       35.10476      136.50376     0.04840     0.02987     0.01853     0.00000
       35.98491      136.50492     0.04050     0.02183     0.01867     0.00000
       34.28507      136.54048     0.00860    -0.00580     0.01440     0.00000
       36.53727      136.54067     0.01740     0.00313     0.01427     0.00000
       35.48006      136.54529     0.01680    -0.00287     0.01967     0.00000
       35.37171      136.54974     0.02500     0.00548     0.01952     0.00000
       34.54705      136.55066     0.02070     0.00474     0.01596     0.00000
       35.22791      136.59344     0.02180     0.00244     0.01936     0.00000
       36.37007      136.60533     0.01790     0.00128     0.01662     0.00000
       35.63290      136.61139     0.01630    -0.00385     0.02015     0.00000
       34.43144      136.62840     0.01970     0.00429     0.01541     0.00000
       36.16529      136.63395     0.02260     0.00403     0.01857     0.00000
       34.91380      136.63650     0.00720    -0.01101     0.01821     0.00000
       36.66341      136.64994     0.01490     0.00170     0.01320     0.00000
       35.90141      136.65774     0.03060     0.01055     0.02005     0.00000
       35.48832      136.68728     0.03130     0.01079     0.02051     0.00000
       34.29661      136.69319     0.02850     0.01386     0.01464     0.00000
       35.05091      136.69425     0.02230     0.00320     0.01910     0.00000
       37.15674      136.71876     0.00870     0.00511     0.00359     0.00000
       34.49000      136.72823     0.01860     0.00265     0.01595     0.00000
       35.40513      136.72875     0.02510     0.00452     0.02058     0.00000
       36.81748      136.75565     0.00560    -0.00562     0.01122     0.00000
       37.00072      136.77271     0.00530    -0.00220     0.00750     0.00000
       35.72349      136.78462     0.03220     0.01091     0.02129     0.00000
       35.30084      136.78882     0.01130    -0.00929     0.02059     0.00000
       34.37358      136.80200     0.02580     0.01053     0.01527     0.00000
       36.59209      136.80640     0.01870     0.00336     0.01534     0.00000
       34.25344      136.82061     0.02160     0.00714     0.01446     0.00000
       35.19011      136.82883     0.02070     0.00035     0.02035     0.00000
       34.90438      136.83188     0.02800     0.00917     0.01883     0.00000
       34.46539      136.85113     0.00450    -0.01147     0.01597     0.00000
       34.98439      136.86275     0.01830    -0.00112     0.01942     0.00000
       35.86694      136.86318     0.02550     0.00382     0.02168     0.00000
       34.82336      136.86764     0.00020    -0.01825     0.01845     0.00000
       37.38238      136.88917     0.00790     0.01040    -0.00250     0.00000
       35.52607      136.90002     0.00960    -0.01231     0.02191     0.00000
       36.26147      136.90427     0.01580    -0.00418     0.01998     0.00000
       37.22644      136.90877     0.03380     0.03160     0.00220     0.00000
       37.85050      136.91927    -0.01770     0.00142    -0.01912     0.00000
       36.40188      136.92056     0.02190     0.00317     0.01873     0.00000
       35.33476      136.92998     0.02430     0.00280     0.02150     0.00000
       34.74005      136.93848     0.04030     0.02222     0.01808     0.00000
       36.03305      136.95276     0.01640    -0.00547     0.02187     0.00000
       35.16842      136.96580     0.01930    -0.00160     0.02090     0.00000
       35.75778      136.97530     0.03050     0.00781     0.02269     0.00000
       34.54391      136.98175     0.01580    -0.00095     0.01675     0.00000
       37.12316      136.99607     0.02330     0.01793     0.00537     0.00000
