       latitude      longitude observation     resiual  prediction  correction
       34.29293      136.00264    -0.00630     0.00064    -0.00694     0.00000
       35.08572      136.04120     0.02390     0.02613    -0.00223     0.00000
       34.71065      136.04189    -0.00210     0.00272    -0.00482     0.00000
       36.10973      136.04895     0.01130     0.00418     0.00712     0.00000
       34.56703      136.05039     0.00510     0.01083    -0.00573     0.00000
       35.46629      136.05367    -0.03930    -0.04013     0.00083     0.00000
       34.86933      136.05483    -0.00940    -0.00555    -0.00385     0.00000
       35.83684      136.05598     0.01130     0.00700     0.00430     0.00000
       35.31897      136.06283     0.01430     0.01477    -0.00047     0.00000
       35.60256      136.10581    -0.01800    -0.01987     0.00187     0.00000
       34.98638      136.14504     0.00710     0.01057    -0.00347     0.00000
       35.09473      136.15823    -0.01630    -0.01359    -0.00271     0.00000
       36.23117      136.17297    -0.02600    -0.03421     0.00821     0.00000
       34.49387      136.17315    -0.00130     0.00549    -0.00679     0.00000
       34.74287      136.18345     0.03180     0.03715    -0.00535     0.00000
       35.96889      136.18499    -0.01630    -0.02159     0.00529     0.00000
       35.79278      136.19739    -0.02670    -0.03011     0.00341     0.00000
       35.55733      136.19795    -0.02300    -0.02409     0.00109     0.00000
       34.06066      136.19836     0.02150     0.03053    -0.00903     0.00000
       35.26944      136.23561     0.01320     0.01487    -0.00167     0.00000
       35.42036      136.26475    -0.00420    -0.00373    -0.00047     0.00000
       36.14562      136.27894    -0.01430    -0.02131     0.00701     0.00000
       34.93073      136.29557    -0.01440    -0.00974    -0.00466     0.00000
       34.64875      136.32976    -0.01290    -0.00614    -0.00676     0.00000
       34.43314      136.33426    -0.01900    -0.01096    -0.00804     0.00000
       35.88822      136.33958     0.00560     0.00167     0.00393     0.00000
       34.20816      136.34293     0.02280     0.03202    -0.00922     0.00000
       36.22956      136.36165    -0.02530    -0.03310     0.00780     0.00000
       34.29793      136.38849    -0.02030    -0.01123    -0.00907     0.00000
       36.39446      136.38894    -0.01540    -0.02517     0.00977     0.00000
       34.85490      136.39326    -0.01040    -0.00464    -0.00576     0.00000
       34.60333      136.43194     0.01330     0.02096    -0.00766     0.00000
       35.35973      136.47031    -0.02950    -0.02744    -0.00206     0.00000
       34.42033      136.47446    -0.00340     0.00557    -0.00897     0.00000
       35.63615      136.48877     0.05130     0.05071     0.00059     0.00000
       34.75900      136.50229    -0.03040    -0.02331    -0.00709     0.00000
       35.10476      136.50376    -0.00800    -0.00350    -0.00450     0.00000
       35.98491      136.50492     0.02310     0.01866     0.00444     0.00000
       34.28507      136.54048     0.03430     0.04439    -0.01009     0.00000
       36.53727      136.54067     0.01590     0.00451     0.01139     0.00000
       35.48006      136.54529     0.02050     0.02180    -0.00130     0.00000
       35.37171      136.54974     0.00080     0.00319    -0.00239     0.00000
       34.54705      136.55066     0.01600     0.02475    -0.00875     0.00000
       35.22791      136.59344    -0.01940    -0.01542    -0.00398     0.00000
       36.37007      136.60533     0.00520    -0.00383     0.00903     0.00000
       35.63290      136.61139     0.01150     0.01155    -0.00005     0.00000
       34.43144      136.62840    -0.03200    -0.02208    -0.00992     0.00000
       36.16529      136.63395    -0.01150    -0.01773     0.00623     0.00000
       34.91380      136.63650    -0.01020    -0.00335    -0.00685     0.00000
       36.66341      136.64994    -0.00680    -0.01982     0.01302     0.00000
       35.90141      136.65774    -0.01980    -0.02261     0.00281     0.00000
       35.48832      136.68728     0.01320     0.01522    -0.00202     0.00000
       34.29661      136.69319     0.02450     0.03556    -0.01106     0.00000
       35.05091      136.69425     0.00060     0.00675    -0.00615     0.00000
       37.15674      136.71876    -0.01490    -0.03506     0.02016     0.00000
       34.49000      136.72823    -0.00830     0.00200    -0.01030     0.00000
       35.40513      136.72875     0.00540     0.00852    -0.00312     0.00000
       36.81748      136.75565    -0.00630    -0.02149     0.01519     0.00000
       37.00072      136.77271     0.01330    -0.00464     0.01794     0.00000
       35.72349      136.78462    -0.00860    -0.00863     0.00003     0.00000
       35.30084      136.78882    -0.00200     0.00255    -0.00455     0.00000
       34.37358      136.80200     0.03530     0.04676    -0.01146     0.00000
       36.59209      136.80640    -0.00260    -0.01437     0.01177     0.00000
       34.25344      136.82061    -0.00550     0.00668    -0.01218     0.00000
       35.19011      136.82883     0.00240     0.00827    -0.00587     0.00000
       34.90438      136.83188    -0.00580     0.00250    -0.00830     0.00000
       34.46539      136.85113    -0.01660    -0.00526    -0.01134     0.00000
       34.98439      136.86275    -0.00230     0.00560    -0.00790     0.00000
